Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
93,1,AagaardK,0,0,1,1,0,2,3,0.66666666666667,0,0,0.5,2,2,1,1,0.75,-1,0.5,1.25,0.75,0,0,0,1,D Patagonia Div 1,17,Patagonia,BradleyA
93,1,AakaluV,0,1,0,0,-2,1,1,1,1,0.33333333333333,0.16666666666667,3,2,1.5,2,0.5,-1,0.5,0.66666666666667,0.83333333333333,0,0,0,1,D Riviera Div 2,25,Riviera,BrensingerB
93,1,AakerJ,1,0,0,2,1,3,2,1.5,2,0.5,0.33333333333333,2,2,1,1,0.75,1,0.83333333333333,1.0833333333333,1.25,0,0,0,0,E Centennial Div 2,12,Centennial,MellemK
93,1,AanensenK,0,1,0,0,-4,1,1,1,1,0.33333333333333,0.16666666666667,5,3,1.6666666666667,3,0.4,-2,0.5,0.56666666666667,0.73333333333333,0,0,0,0,E Maritime Div 2,30,Maritime,BarrettE
93,1,AaronA,1,0,0,2,1,4,3,1.3333333333333,2,0.4,0.5,3,3,1,1,0.8,1,0.9,1.3,1.2,0,0,0,0,B Rubicon,15,Rubicon,MockR
93,1,AaronK,1,0,0,2,1,5,4,1.25,1,0.25,0.66666666666667,4,3,1.3333333333333,2,0.6,-1,0.91666666666667,1.2666666666667,0.85,0,0,1,0,C Coastal Div 2,9,Coastal,vonHaamK
93,1,AaronsonA,1,0,0,2,4,9,5,1.8,3,1,0.83333333333333,5,4,1.25,1,0.75,2,1.8333333333333,1.5833333333333,1.75,0,0,1,0,C Zenith Div 1,3,Zenith,DisnerS
93,1,Aas S,1,0,0,2,6,8,4,2,4,1,0.66666666666667,2,2,1,1,0.75,3,1.6666666666667,1.4166666666667,1.75,0,0,1,0,C Taiga Div 2,1,Taiga,RossM
93,1,AastorpH,0,1,0,0,-8,1,2,0.5,0,0,0.33333333333333,9,6,1.5,0,0,0,0.33333333333333,0.33333333333333,0,0,0,0,0,B Meridian,27,Meridian,AastorpH
93,1,AbarrondoA,1,0,0,2,6,6,3,2,4,0.8,0.5,0,0,--,0,0,4,1.3,0.5,0.8,0,0,1,0,R Utopia,1,Utopia,SpauldingM
93,1,AbateM,0,0,1,1,0,3,3,1,1,0.2,0.5,3,3,1,1,0.8,0,0.7,1.3,1,0,0,0,0,C Citadel Div 1,19,Citadel,BernsL
93,1,AbateS,1,0,0,2,2,3,3,1,1,0.2,0.5,1,1,1,1,0.66666666666667,0,0.7,1.1666666666667,0.86666666666667,0,0,0,1,E Tundra Div 2,7,Tundra,ZieglerP
93,1,AbbottM,1,0,0,2,4,5,2,2.5,4,1,0.33333333333333,1,2,0.5,0,1,4,1.3333333333333,1.3333333333333,2,0,0,1,0,D Polaris Div 1,4,Polaris,CottB
93,1,AbbottS2,1,0,0,2,7,8,5,1.6,2,0.66666666666667,0.83333333333333,1,2,0.5,0,1,2,1.5,1.8333333333333,1.6666666666667,0,0,1,0,D Alpine Div 1,1,Alpine,ChangD
93,1,AbdalianA,1,0,0,2,2,5,4,1.25,1,0.25,0.66666666666667,3,3,1,1,0.8,0,0.91666666666667,1.4666666666667,1.05,0,0,0,0,B Commonwealth,9,Commonwealth,AbdalianA
93,1,AbelE,1,0,0,2,4,6,5,1.2,0,0,0.83333333333333,2,3,0.66666666666667,0,1,0,0.83333333333333,1.8333333333333,1,0,0,0,1,E Junction Div 2,2,Junction,SweeneyJ
93,1,AbelesD,0,1,0,0,-1,2,3,0.66666666666667,0,0,0.5,3,3,1,1,0.8,-1,0.5,1.3,0.8,0,0,0,1,D Peninsula Div 1,24,Peninsula,DiGiorgioN
93,1,AbelmanJA,0,1,0,0,-4,3,3,1,1,0.2,0.5,7,4,1.75,3,0.25,-2,0.7,0.75,0.45,0,0,0,0,C Horizon Div 2,25,Horizon,RosenbergJ
93,1,AbelowJ,0,1,0,0,-7,2,1,2,2,0.66666666666667,0.16666666666667,9,6,1.5,0,0,2,0.83333333333333,0.16666666666667,0.66666666666667,0,0,0,0,D Highland Div 1,33,Highland,McDowellJ
93,1,AbelSR,1,0,0,2,3,3,2,1.5,2,0.5,0.33333333333333,0,0,--,0,0,2,0.83333333333333,0.33333333333333,0.5,1,0,0,1,C Woodlands Div 2,7,Woodlands,DawsonKatya
93,1,AbelT,0,0,1,1,0,7,4,1.75,3,0.75,0.66666666666667,7,5,1.4,1,0.66666666666667,2,1.4166666666667,1.3333333333333,1.4166666666667,0,0,1,0,B Magnolia,17,Magnolia,Grayt
93,1,AbendA,1,0,0,2,3,6,4,1.5,2,0.5,0.66666666666667,3,1,3,3,0,-1,1.1666666666667,0.66666666666667,0.5,0,0,1,0,R Polaris,2,Polaris,MiddletonA
93,1,AbendM,1,0,0,2,6,7,5,1.4,1,0.33333333333333,0.83333333333333,1,2,0.5,0,1,1,1.1666666666667,1.8333333333333,1.3333333333333,0,0,1,0,B Highland,2,Highland,MaebiusA
93,1,AbernathyC,0,0,1,1,0,1,2,0.5,0,0,0.33333333333333,1,1,1,1,0.66666666666667,-1,0.33333333333333,1,0.66666666666667,0,0,0,0,E Serengeti Div 2,13,Serengeti,McGeehanJ
93,1,AbernethyD,0,0,1,1,0,5,4,1.25,1,0.25,0.66666666666667,5,4,1.25,1,0.75,0,0.91666666666667,1.4166666666667,1,0,0,0,0,B Valhalla,16,Valhalla,BarnesMRaff
93,1,AbiSamraF,0,1,0,0,-1,2,1,2,2,0.66666666666667,0.16666666666667,3,3,1,1,0.8,1,0.83333333333333,0.96666666666667,1.4666666666667,0,0,0,0,E Elysium Div 1,19,Elysium,BrownSKaiser
93,1,AbiSamraR,1,0,0,2,4,7,4,1.75,3,0.75,0.66666666666667,3,2,1.5,2,0.5,1,1.4166666666667,1.1666666666667,1.25,0,0,1,1,C Elysium Div 1,3,Elysium,BrownSKaiser
93,1,AbodeelyE,0,1,0,0,-2,2,3,0.66666666666667,0,0,0.5,4,2,2,3,0.25,-3,0.5,0.75,0.25,0,0,0,1,D Atlantic Div 2,21,Atlantic,HortonC
93,1,AbolafiaD,1,0,0,2,4,9,6,1.5,0,0,1,5,4,1.25,1,0.75,-1,1,1.75,0.75,0,0,1,0,A Zenith,3,Zenith,MercureT
93,1,AbonamahJ,1,0,0,2,3,4,4,1,0,0,0.66666666666667,1,1,1,1,0.66666666666667,-1,0.66666666666667,1.3333333333333,0.66666666666667,0,0,0,1,E Frontier Div 2,6,Frontier,JayI
93,1,Abou-SayedT,0,1,0,0,-1,8,5,1.6,2,0.66666666666667,0.83333333333333,9,6,1.5,0,0,2,1.5,0.83333333333333,0.66666666666667,0,0,1,0,A River,16,River,TolanyB
93,1,AbplanalpJ,1,0,0,2,3,5,3,1.6666666666667,3,0.6,0.5,2,2,1,1,0.75,2,1.1,1.25,1.35,0,0,0,0,E Highland Div 2,6,Highland,McDowellJ
93,1,AbrahamJ,1,0,0,2,3,9,5,1.8,3,1,0.83333333333333,6,5,1.2,0,1,3,1.8333333333333,1.8333333333333,2,0,0,1,0,A Midland,4,Midland,KonouchiN
93,1,AbrahamK,0,0,1,1,0,4,3,1.3333333333333,2,0.4,0.5,4,4,1,0,1,2,0.9,1.5,1.4,0,0,1,0,D Junction Div 2,17,Junction,CechL
93,1,AbrahamM,1,0,0,2,1,2,2,1,1,0.25,0.33333333333333,1,2,0.5,0,1,1,0.58333333333333,1.3333333333333,1.25,0,0,0,0,D Veldt Div 2,16,Veldt,CampbellEW
93,1,AbrahamN,1,0,0,2,5,5,3,1.6666666666667,3,0.6,0.5,0,1,0,0,1,3,1.1,1.5,1.6,0,0,1,0,D Coastal Div 1,2,Coastal,HungEY
93,1,AbrahamP,0,1,0,0,-3,1,1,1,1,0.33333333333333,0.16666666666667,4,3,1.3333333333333,2,0.6,-1,0.5,0.76666666666667,0.93333333333333,0,0,0,1,C Yukon Div 2,21,Yukon,GrewalG
93,1,AbrahamS2,0,0,1,1,0,4,3,1.3333333333333,2,0.4,0.5,4,4,1,0,1,2,0.9,1.5,1.4,0,0,0,0,B Skyline,17,Skyline,RubensteinM
93,1,AbrahamsonS,0,0,1,1,0,6,5,1.2,0,0,0.83333333333333,6,5,1.2,0,1,0,0.83333333333333,1.8333333333333,1,0,0,0,0,A Horizon,15,Horizon,RabnerG
93,1,AbrahamsR,0,1,0,0,-4,2,1,2,2,0.66666666666667,0.16666666666667,6,3,2,4,0.2,-2,0.83333333333333,0.36666666666667,0.86666666666667,0,0,0,2,E Laurel Div 1,30,Laurel,CitronDT
93,1,AbrahamsR2,0,1,0,-1,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,1,0,0,E Piedmont Div 1,34,Piedmont,RafalA
93,1,AbramowitzA,1,0,0,2,3,5,2,2.5,4,1,0.33333333333333,2,1,2,2,0.33333333333333,2,1.3333333333333,0.66666666666667,1.3333333333333,0,0,1,1,E Ravenna Div 1,7,Ravenna,BlomE
